rank_test_score,mean_train_f1,std_train_f1,mean_cv_f1,std_cv_f1,C,penalty,class_weight
1,0.4772768263938692,0.0025435411540817173,0.46859974423969736,0.0026409300866882712,1.0,l1,balanced
2,0.4772989908641889,0.0024799366159347193,0.4683243435763362,0.0026559494775330464,5.0,l2,balanced
3,0.4770846769517143,0.002519058384806829,0.46830503509270693,0.002633088851929352,1.0,l2,balanced
4,0.4773838062332258,0.0024537713970709386,0.46827054746761493,0.0027419529229080145,5.0,l1,balanced
5,0.47105280547812156,0.003329252952708139,0.46812574941681645,0.0017505695280087019,0.1,l1,balanced
6,0.4732953778719107,0.0027289131483814125,0.4677840431495525,0.000906655394135447,0.05,l2,balanced
7,0.47491066294552003,0.0024417438087535586,0.4677429176911047,0.0016269201284278257,0.1,l2,balanced
8,0.4664410378767048,0.0024863380164048612,0.464183786794977,0.003116900597503878,0.05,l1,balanced
9,0.11491531739784411,0.006161277861126781,0.10966196511888943,0.005689492267018873,5.0,l2,
10,0.1147731575262499,0.006066262802711756,0.10912546122362628,0.005670195412184542,5.0,l1,
11,0.11172357427042635,0.006701944472979898,0.10670176384173569,0.005859858127358862,1.0,l2,
12,0.110603524497212,0.0064985179567008475,0.10521664856739883,0.005745425184250931,1.0,l1,
13,0.09189553198954288,0.007325618755711019,0.0890299683190454,0.0057735999669086486,0.1,l2,
14,0.07760766773564443,0.0052104567147335384,0.07529304630633737,0.005931391301380775,0.1,l1,
15,0.07714120685290465,0.006769505018336658,0.0742371368737683,0.004796231675336721,0.05,l2,
16,0.05775687404763691,0.0039393168681530494,0.05701422294204075,0.0034061920573813485,0.05,l1,
