feature,coefficient,abs_coef
cat__airport_EKO,-3.6733220170078575,3.6733220170078575
cat__airport_WYS,-2.773991012548271,2.773991012548271
cat__airport_CYS,-2.5105889997245194,2.5105889997245194
cat__airport_VCT,-2.4692337734868457,2.4692337734868457
cat__airport_DDC,-2.38818798668508,2.38818798668508
cat__airport_SPN,-2.273686265201035,2.273686265201035
cat__airport_CIC,2.1744364347398335,2.1744364347398335
cat__airport_BTM,-2.1564043215390125,2.1564043215390125
cat__airport_LWS,-2.1081807133579753,2.1081807133579753
cat__airport_SWO,-2.05645652833229,2.05645652833229
cat__airport_PIH,-1.9998874331172298,1.9998874331172298
cat__airport_BRD,-1.9822903808530403,1.9822903808530403
cat__airport_IMT,-1.9644819314756432,1.9644819314756432
cat__airport_INL,-1.8064402275141194,1.8064402275141194
cat__airport_SUN,-1.7916958595339607,1.7916958595339607
cat__airport_HLN,-1.7719291895949767,1.7719291895949767
cat__airport_SGU,-1.6916851269195454,1.6916851269195454
cat__airport_OTH,1.645436931982202,1.645436931982202
cat__airport_HIB,-1.630144514032535,1.630144514032535
cat__airport_SFB,1.5754241785111662,1.5754241785111662
cat__airport_RHI,-1.4557205516858465,1.4557205516858465
cat__airport_YUM,-1.4359531727855466,1.4359531727855466
cat__airport_EWR,1.4294008671269467,1.4294008671269467
cat__airport_CEC,1.4174000466297396,1.4174000466297396
cat__carrier_DL,-1.417307004169223,1.417307004169223
cat__airport_BQN,1.407706808978269,1.407706808978269
cat__airport_TWF,-1.3647952832028036,1.3647952832028036
cat__airport_SFO,1.3331445364020396,1.3331445364020396
cat__airport_PLN,-1.320545650929397,1.320545650929397
cat__airport_TBN,-1.317715927794026,1.317715927794026
cat__airport_EAT,-1.3080992965807827,1.3080992965807827
cat__airport_CLL,-1.289478938659583,1.289478938659583
cat__airport_BLI,-1.2424598524695774,1.2424598524695774
cat__airport_OTZ,-1.233874197611853,1.233874197611853
cat__carrier_9E,-1.2247121361111746,1.2247121361111746
cat__airport_FLG,-1.1755172122881141,1.1755172122881141
cat__airport_FOE,1.1706537284378995,1.1706537284378995
cat__airport_CDB,1.1598379558452527,1.1598379558452527
cat__airport_BJI,-1.1245575438714974,1.1245575438714974
cat__airport_LGB,-1.0791140430152626,1.0791140430152626
